ECG,IMP,Z0
6.10340,0.00000,0.00000
0.30517,0.00000,0.00000
-1.83102,0.00000,0.00000
-4.27238,0.00000,0.00000
-1.52585,0.00000,0.00000
-4.88272,0.00000,0.00000
-1.52585,0.00000,0.00000
0.00000,0.00000,0.00000
-6.40857,0.00000,0.00000
-6.40857,0.00000,0.00000
-2.44136,0.00000,0.00000
-0.91551,0.00000,0.00000
-10.68095,0.00000,0.00000
-20.14122,0.00000,0.00000
-15.86884,0.00000,0.00000
-13.12231,0.00000,0.00000
-14.03782,0.00000,0.00000
-16.47918,0.00000,0.00000
-17.08952,0.00000,0.00000
-9.46027,0.00000,0.00000
-15.86884,0.00000,0.00000
-15.56367,0.00000,0.00000
-18.31020,0.00000,0.00000
-18.61537,0.00000,0.00000
-17.69986,0.00000,0.00000
-21.97224,0.00000,0.00000
-20.14122,0.00000,0.00000
-18.31020,0.00000,0.00000
-18.61537,0.00000,0.00000
-44.85999,0.00000,0.00000
-3.05170,0.00000,0.00000
-14.03782,0.00000,0.00000
-11.29129,0.00000,0.00000
-6.71374,0.00000,0.00000
-2.44136,0.00000,0.00000
-4.88272,0.00000,0.00000
-32.65319,0.00000,0.00000
-49.43754,0.00000,0.00000
-45.77550,0.00000,0.00000
-43.94448,0.00000,0.00000
-37.23074,0.00000,0.00000
-26.85496,0.00000,0.00000
-34.78938,0.00000,0.00000
-51.26856,0.00000,0.00000
-45.77550,0.00000,0.00000
-7.32408,0.00000,0.00000
7.93442,0.00000,0.00000
15.25850,0.00000,0.00000
14.95333,0.00000,0.00000
21.05673,0.00000,0.00000
46.69101,0.00000,0.00000
91.24583,0.00000,0.00000
111.99739,0.00000,0.00000
146.48160,0.00000,0.00000
187.98472,0.00000,0.00000
193.47778,0.00000,0.00000
188.90023,0.00000,0.00000
179.74513,0.00000,0.00000
153.50051,0.00000,0.00000
102.23195,0.00000,0.00000
41.80829,0.00000,0.00000
14.95333,0.00000,0.00000
-8.23959,0.00000,0.00000
-16.17401,0.00000,0.00000
-23.19292,0.00000,0.00000
-29.90666,0.00000,0.00000
-27.77047,0.00000,0.00000
-32.65319,0.00000,0.00000
-19.83605,0.00000,0.00000
-26.85496,0.00000,0.00000
-42.72380,0.00000,0.00000
-39.06176,0.00000,0.00000
-37.84108,0.00000,0.00000
-40.58761,0.00000,0.00000
-40.28244,0.00000,0.00000
-31.73768,0.00000,0.00000
-29.29632,0.00000,0.00000
-37.84108,0.00000,0.00000
-28.99115,0.00000,0.00000
-34.48421,0.00000,0.00000
-31.12734,0.00000,0.00000
-25.63428,0.00000,0.00000
-31.12734,0.00000,0.00000
-22.58258,0.00000,0.00000
-28.99115,0.00000,0.00000
-34.17904,0.00000,0.00000
-28.68598,0.00000,0.00000
-25.32911,0.00000,0.00000
-27.46530,0.00000,0.00000
-20.44639,0.00000,0.00000
-23.49809,0.00000,0.00000
-34.48421,0.00000,0.00000
-27.16013,0.00000,0.00000
-27.16013,0.00000,0.00000
-19.83605,0.00000,0.00000
-25.63428,0.00000,0.00000
-26.54979,0.00000,0.00000
-24.71877,0.00000,0.00000
-26.85496,0.00000,0.00000
-25.93945,0.00000,0.00000
-18.00503,0.00000,0.00000
-8.23959,0.00000,0.00000
-28.68598,0.00000,0.00000
-38.45142,0.00000,0.00000
-32.04285,0.00000,0.00000
-31.43251,0.00000,0.00000
-33.26353,0.00000,0.00000
-32.04285,0.00000,0.00000
-35.09455,0.00000,0.00000
-31.43251,0.00000,0.00000
-21.66707,0.00000,0.00000
-15.25850,0.00000,0.00000
-10.07061,0.00000,0.00000
-6.40857,0.00000,0.00000
-10.37578,0.00000,0.00000
3.35687,0.00000,0.00000
13.73265,0.00000,0.00000
3.96721,0.00000,0.00000
9.15510,0.00000,0.00000
9.76544,0.00000,0.00000
5.49306,0.00000,0.00000
9.46027,0.00000,0.00000
11.59646,0.00000,0.00000
14.34299,0.00000,0.00000
12.51197,0.00000,0.00000
-0.91551,0.00000,0.00000
14.03782,0.00000,0.00000
3.35687,0.00000,0.00000
-4.57755,0.00000,0.00000
19.53088,0.00000,0.00000
10.07061,0.00000,0.00000
14.95333,0.00000,0.00000
7.01891,0.00000,0.00000
7.32408,0.00000,0.00000
16.47918,0.00000,0.00000
6.10340,0.00000,0.00000
10.37578,0.00000,0.00000
0.61034,0.00000,0.00000
17.69986,0.00000,0.00000
18.61537,0.00000,0.00000
9.76544,0.00000,0.00000
7.93442,0.00000,0.00000
14.34299,0.00000,0.00000
10.68095,0.00000,0.00000
12.51197,0.00000,0.00000
-7.62925,0.00000,0.00000
-0.61034,0.00000,0.00000
-8.54476,0.00000,0.00000
-12.81714,0.00000,0.00000
-19.22571,0.00000,0.00000
-6.71374,0.00000,0.00000
-5.49306,0.00000,0.00000
-13.42748,0.00000,0.00000
-14.95333,0.00000,0.00000
-10.07061,0.00000,0.00000
